"BehaviorSpace results (NetLogo 6.2.2)"
"Model_final-version.nlogo"
"2500_people_70.6pct_vacinated"
"02/01/2022 12:15:28:477 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-135","135","-135","135"
"[run number]","percentage-vacinated","Show-place-of-infection","crowd-size","[step]","r-number"
"7","70.6","false","2500","0","0"
"8","70.6","false","2500","0","0"
"10","70.6","false","2500","0","0"
"9","70.6","false","2500","0","0"
"2","70.6","false","2500","0","0"
"5","70.6","false","2500","0","0"
"6","70.6","false","2500","0","0"
"1","70.6","false","2500","0","0"
"3","70.6","false","2500","0","0"
"4","70.6","false","2500","0","0"
"9","70.6","false","2500","1","0.006666666666666667"
"7","70.6","false","2500","1","0"
"8","70.6","false","2500","1","0.02"
"4","70.6","false","2500","1","0.006666666666666667"
"10","70.6","false","2500","1","0"
"3","70.6","false","2500","1","0.006666666666666667"
"5","70.6","false","2500","1","0.02"
"1","70.6","false","2500","1","0"
"6","70.6","false","2500","1","0.013333333333333334"
"2","70.6","false","2500","1","0.02666666666666667"
"9","70.6","false","2500","2","0.02"
"7","70.6","false","2500","2","0.02"
"4","70.6","false","2500","2","0.02"
"8","70.6","false","2500","2","0.03333333333333333"
"10","70.6","false","2500","2","0.013333333333333334"
"3","70.6","false","2500","2","0.02"
"1","70.6","false","2500","2","0.013333333333333334"
"2","70.6","false","2500","2","0.03333333333333333"
"5","70.6","false","2500","2","0.03333333333333333"
"6","70.6","false","2500","2","0.02"
"9","70.6","false","2500","3","0.06"
"7","70.6","false","2500","3","0.03333333333333333"
"4","70.6","false","2500","3","0.03333333333333333"
"8","70.6","false","2500","3","0.04666666666666667"
"10","70.6","false","2500","3","0.02"
"1","70.6","false","2500","3","0.02666666666666667"
"3","70.6","false","2500","3","0.02666666666666667"
"5","70.6","false","2500","3","0.04666666666666667"
"2","70.6","false","2500","3","0.03333333333333333"
"6","70.6","false","2500","3","0.02666666666666667"
"4","70.6","false","2500","4","0.04"
"9","70.6","false","2500","4","0.08666666666666667"
"7","70.6","false","2500","4","0.05333333333333334"
"10","70.6","false","2500","4","0.02"
"1","70.6","false","2500","4","0.03333333333333333"
"3","70.6","false","2500","4","0.04666666666666667"
"8","70.6","false","2500","4","0.06"
"5","70.6","false","2500","4","0.04666666666666667"
"6","70.6","false","2500","4","0.03333333333333333"
"2","70.6","false","2500","4","0.03333333333333333"
"7","70.6","false","2500","5","0.06"
"9","70.6","false","2500","5","0.09333333333333334"
"4","70.6","false","2500","5","0.05333333333333334"
"1","70.6","false","2500","5","0.05333333333333334"
"3","70.6","false","2500","5","0.04666666666666667"
"10","70.6","false","2500","5","0.04"
"8","70.6","false","2500","5","0.06666666666666667"
"6","70.6","false","2500","5","0.05333333333333334"
"5","70.6","false","2500","5","0.06"
"2","70.6","false","2500","5","0.05333333333333334"
"9","70.6","false","2500","6","0.10666666666666667"
"1","70.6","false","2500","6","0.08"
"7","70.6","false","2500","6","0.08"
"4","70.6","false","2500","6","0.06666666666666667"
"3","70.6","false","2500","6","0.06"
"10","70.6","false","2500","6","0.04666666666666667"
"8","70.6","false","2500","6","0.06666666666666667"
"6","70.6","false","2500","6","0.05333333333333334"
"5","70.6","false","2500","6","0.07333333333333333"
"2","70.6","false","2500","6","0.06"
"1","70.6","false","2500","7","0.1"
"9","70.6","false","2500","7","0.12666666666666668"
"7","70.6","false","2500","7","0.09333333333333334"
"4","70.6","false","2500","7","0.1"
"3","70.6","false","2500","7","0.07333333333333333"
"10","70.6","false","2500","7","0.06666666666666667"
"8","70.6","false","2500","7","0.08666666666666667"
"6","70.6","false","2500","7","0.1"
"5","70.6","false","2500","7","0.08666666666666667"
"1","70.6","false","2500","8","0.12"
"2","70.6","false","2500","7","0.06666666666666667"
"7","70.6","false","2500","8","0.09333333333333334"
"9","70.6","false","2500","8","0.14666666666666667"
"3","70.6","false","2500","8","0.10666666666666667"
"4","70.6","false","2500","8","0.12"
"10","70.6","false","2500","8","0.07333333333333333"
"8","70.6","false","2500","8","0.09333333333333334"
"5","70.6","false","2500","8","0.1"
"6","70.6","false","2500","8","0.12"
"7","70.6","false","2500","9","0.12"
"9","70.6","false","2500","9","0.16"
"1","70.6","false","2500","9","0.14666666666666667"
"2","70.6","false","2500","8","0.07333333333333333"
"3","70.6","false","2500","9","0.10666666666666667"
"10","70.6","false","2500","9","0.08666666666666667"
"4","70.6","false","2500","9","0.14666666666666667"
"8","70.6","false","2500","9","0.11333333333333333"
"5","70.6","false","2500","9","0.11333333333333333"
"6","70.6","false","2500","9","0.13333333333333333"
"7","70.6","false","2500","10","0.12"
"1","70.6","false","2500","10","0.14666666666666667"
"9","70.6","false","2500","10","0.19333333333333333"
"2","70.6","false","2500","9","0.09333333333333334"
"10","70.6","false","2500","10","0.10666666666666667"
"3","70.6","false","2500","10","0.11333333333333333"
"4","70.6","false","2500","10","0.14666666666666667"
"8","70.6","false","2500","10","0.12"
"5","70.6","false","2500","10","0.13333333333333333"
"1","70.6","false","2500","11","0.16666666666666666"
"6","70.6","false","2500","10","0.15333333333333332"
"10","70.6","false","2500","11","0.10666666666666667"
"7","70.6","false","2500","11","0.13333333333333333"
"2","70.6","false","2500","10","0.10666666666666667"
"9","70.6","false","2500","11","0.20666666666666667"
"3","70.6","false","2500","11","0.12"
"4","70.6","false","2500","11","0.16666666666666666"
"8","70.6","false","2500","11","0.14"
"5","70.6","false","2500","11","0.15333333333333332"
"1","70.6","false","2500","12","0.16666666666666666"
"6","70.6","false","2500","11","0.16"
"10","70.6","false","2500","12","0.10666666666666667"
"4","70.6","false","2500","12","0.16666666666666666"
"7","70.6","false","2500","12","0.14666666666666667"
"2","70.6","false","2500","11","0.11333333333333333"
"9","70.6","false","2500","12","0.22666666666666666"
"3","70.6","false","2500","12","0.12666666666666668"
"8","70.6","false","2500","12","0.16"
"1","70.6","false","2500","13","0.18"
"5","70.6","false","2500","12","0.18"
"6","70.6","false","2500","12","0.17333333333333334"
"4","70.6","false","2500","13","0.18666666666666668"
"10","70.6","false","2500","13","0.10666666666666667"
"7","70.6","false","2500","13","0.15333333333333332"
"9","70.6","false","2500","13","0.24666666666666667"
"3","70.6","false","2500","13","0.14666666666666667"
"2","70.6","false","2500","12","0.12"
"8","70.6","false","2500","13","0.17333333333333334"
"1","70.6","false","2500","14","0.2"
"5","70.6","false","2500","13","0.19333333333333333"
"6","70.6","false","2500","13","0.18666666666666668"
"9","70.6","false","2500","14","0.24666666666666667"
"4","70.6","false","2500","14","0.20666666666666667"
"7","70.6","false","2500","14","0.15333333333333332"
"10","70.6","false","2500","14","0.13333333333333333"
"2","70.6","false","2500","13","0.15333333333333332"
"3","70.6","false","2500","14","0.16"
"1","70.6","false","2500","15","0.20666666666666667"
"8","70.6","false","2500","14","0.19333333333333333"
"6","70.6","false","2500","14","0.2"
"5","70.6","false","2500","14","0.2"
"9","70.6","false","2500","15","0.2733333333333333"
"4","70.6","false","2500","15","0.22"
"7","70.6","false","2500","15","0.15333333333333332"
"10","70.6","false","2500","15","0.14"
"2","70.6","false","2500","14","0.16"
"8","70.6","false","2500","15","0.22666666666666666"
"1","70.6","false","2500","16","0.22666666666666666"
"3","70.6","false","2500","15","0.17333333333333334"
"6","70.6","false","2500","15","0.22666666666666666"
"5","70.6","false","2500","15","0.22"
"4","70.6","false","2500","16","0.24"
"9","70.6","false","2500","16","0.3"
"7","70.6","false","2500","16","0.16"
"8","70.6","false","2500","16","0.24666666666666667"
"10","70.6","false","2500","16","0.14"
"1","70.6","false","2500","17","0.23333333333333334"
"3","70.6","false","2500","16","0.18666666666666668"
"2","70.6","false","2500","15","0.16666666666666666"
"6","70.6","false","2500","16","0.25333333333333335"
"5","70.6","false","2500","16","0.24"
"4","70.6","false","2500","17","0.24666666666666667"
"9","70.6","false","2500","17","0.31333333333333335"
"7","70.6","false","2500","17","0.16666666666666666"
