"BehaviorSpace results (NetLogo 6.2.2)"
"Model_final-version.nlogo"
"2000_people_0pct_vacinated"
"02/01/2022 13:10:00:600 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-135","135","-135","135"
"[run number]","percentage-vacinated","Show-place-of-infection","crowd-size","[step]","r-number"
"2","0","false","2000","0","0"
"3","0","false","2000","0","0"
"4","0","false","2000","0","0"
"6","0","false","2000","0","0"
"8","0","false","2000","0","0"
"10","0","false","2000","0","0"
"9","0","false","2000","0","0"
"5","0","false","2000","0","0"
"7","0","false","2000","0","0"
"1","0","false","2000","0","0"
"5","0","false","2000","1","0.025"
"6","0","false","2000","1","0.008333333333333333"
"8","0","false","2000","1","0.05"
"10","0","false","2000","1","0.016666666666666666"
"2","0","false","2000","1","0.016666666666666666"
"1","0","false","2000","1","0.016666666666666666"
"4","0","false","2000","1","0.008333333333333333"
"3","0","false","2000","1","0.016666666666666666"
"9","0","false","2000","1","0.008333333333333333"
"7","0","false","2000","1","0.008333333333333333"
"5","0","false","2000","2","0.05"
"1","0","false","2000","2","0.05"
"6","0","false","2000","2","0.008333333333333333"
"8","0","false","2000","2","0.075"
"2","0","false","2000","2","0.025"
"10","0","false","2000","2","0.03333333333333333"
"4","0","false","2000","2","0.016666666666666666"
"9","0","false","2000","2","0.016666666666666666"
"3","0","false","2000","2","0.016666666666666666"
"7","0","false","2000","2","0.058333333333333334"
"5","0","false","2000","3","0.058333333333333334"
"1","0","false","2000","3","0.09166666666666666"
"6","0","false","2000","3","0.03333333333333333"
"4","0","false","2000","3","0.03333333333333333"
"8","0","false","2000","3","0.09166666666666666"
"2","0","false","2000","3","0.058333333333333334"
"9","0","false","2000","3","0.025"
"10","0","false","2000","3","0.06666666666666667"
"3","0","false","2000","3","0.03333333333333333"
"7","0","false","2000","3","0.06666666666666667"
"1","0","false","2000","4","0.11666666666666667"
"5","0","false","2000","4","0.08333333333333333"
"6","0","false","2000","4","0.075"
"4","0","false","2000","4","0.05"
"8","0","false","2000","4","0.1"
"2","0","false","2000","4","0.058333333333333334"
"10","0","false","2000","4","0.075"
"9","0","false","2000","4","0.05"
"7","0","false","2000","4","0.08333333333333333"
"3","0","false","2000","4","0.05"
"1","0","false","2000","5","0.14166666666666666"
"5","0","false","2000","5","0.125"
"4","0","false","2000","5","0.058333333333333334"
"6","0","false","2000","5","0.08333333333333333"
"2","0","false","2000","5","0.08333333333333333"
"8","0","false","2000","5","0.125"
"9","0","false","2000","5","0.06666666666666667"
"10","0","false","2000","5","0.08333333333333333"
"1","0","false","2000","6","0.18333333333333332"
"7","0","false","2000","5","0.15"
"3","0","false","2000","5","0.06666666666666667"
