"BehaviorSpace results (NetLogo 6.2.2)"
"Model_final-version.nlogo"
"2500_people_0pct_vacinated"
"02/01/2022 12:28:24:929 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-135","135","-135","135"
"[run number]","percentage-vacinated","Show-place-of-infection","crowd-size","[step]","r-number"
"9","0","false","2500","0","0"
"5","0","false","2500","0","0"
"8","0","false","2500","0","0"
"1","0","false","2500","0","0"
"3","0","false","2500","0","0"
"2","0","false","2500","0","0"
"10","0","false","2500","0","0"
"4","0","false","2500","0","0"
"7","0","false","2500","0","0"
"6","0","false","2500","0","0"
"8","0","false","2500","1","0.04"
"7","0","false","2500","1","0.013333333333333334"
"3","0","false","2500","1","0.02666666666666667"
"6","0","false","2500","1","0.04666666666666667"
"1","0","false","2500","1","0.04666666666666667"
"10","0","false","2500","1","0"
"4","0","false","2500","1","0.04666666666666667"
"9","0","false","2500","1","0.02"
"5","0","false","2500","1","0.013333333333333334"
"2","0","false","2500","1","0.006666666666666667"
"3","0","false","2500","2","0.04"
"8","0","false","2500","2","0.04666666666666667"
"7","0","false","2500","2","0.02666666666666667"
"1","0","false","2500","2","0.06666666666666667"
"6","0","false","2500","2","0.08"
"4","0","false","2500","2","0.06666666666666667"
"10","0","false","2500","2","0.02"
"9","0","false","2500","2","0.04666666666666667"
"5","0","false","2500","2","0.03333333333333333"
"2","0","false","2500","2","0.03333333333333333"
"3","0","false","2500","3","0.06666666666666667"
"1","0","false","2500","3","0.09333333333333334"
"7","0","false","2500","3","0.05333333333333334"
"6","0","false","2500","3","0.10666666666666667"
"8","0","false","2500","3","0.08666666666666667"
"4","0","false","2500","3","0.10666666666666667"
"5","0","false","2500","3","0.06666666666666667"
"9","0","false","2500","3","0.08666666666666667"
"10","0","false","2500","3","0.04"
"2","0","false","2500","3","0.05333333333333334"
"3","0","false","2500","4","0.09333333333333334"
"1","0","false","2500","4","0.12"
"6","0","false","2500","4","0.14666666666666667"
"7","0","false","2500","4","0.08"
"8","0","false","2500","4","0.1"
"4","0","false","2500","4","0.15333333333333332"
"10","0","false","2500","4","0.07333333333333333"
"5","0","false","2500","4","0.11333333333333333"
"9","0","false","2500","4","0.11333333333333333"
"2","0","false","2500","4","0.09333333333333334"
"3","0","false","2500","5","0.12"
"1","0","false","2500","5","0.16"
"6","0","false","2500","5","0.19333333333333333"
"8","0","false","2500","5","0.10666666666666667"
"4","0","false","2500","5","0.19333333333333333"
"7","0","false","2500","5","0.12666666666666668"
"10","0","false","2500","5","0.14"
"5","0","false","2500","5","0.12"
"9","0","false","2500","5","0.14"
"2","0","false","2500","5","0.14"
"1","0","false","2500","6","0.18666666666666668"
"3","0","false","2500","6","0.16666666666666666"
"6","0","false","2500","6","0.2"
"7","0","false","2500","6","0.17333333333333334"
"8","0","false","2500","6","0.13333333333333333"
"4","0","false","2500","6","0.22666666666666666"
"10","0","false","2500","6","0.17333333333333334"
"5","0","false","2500","6","0.13333333333333333"
"9","0","false","2500","6","0.16666666666666666"
"1","0","false","2500","7","0.23333333333333334"
"2","0","false","2500","6","0.17333333333333334"
"3","0","false","2500","7","0.18"
"6","0","false","2500","7","0.22666666666666666"
"8","0","false","2500","7","0.18666666666666668"
"4","0","false","2500","7","0.24"
"10","0","false","2500","7","0.19333333333333333"
"7","0","false","2500","7","0.19333333333333333"
"1","0","false","2500","8","0.24666666666666667"
"9","0","false","2500","7","0.20666666666666667"
"3","0","false","2500","8","0.22666666666666666"
"5","0","false","2500","7","0.15333333333333332"
"2","0","false","2500","7","0.20666666666666667"
"6","0","false","2500","8","0.24666666666666667"
"7","0","false","2500","8","0.23333333333333334"
"4","0","false","2500","8","0.24666666666666667"
"8","0","false","2500","8","0.21333333333333335"
"10","0","false","2500","8","0.22666666666666666"
"3","0","false","2500","9","0.25333333333333335"
"1","0","false","2500","9","0.2733333333333333"
"5","0","false","2500","8","0.19333333333333333"
"2","0","false","2500","8","0.22"
"9","0","false","2500","8","0.23333333333333334"
"6","0","false","2500","9","0.26666666666666666"
"7","0","false","2500","9","0.25333333333333335"
"8","0","false","2500","9","0.22666666666666666"
"4","0","false","2500","9","0.28"
"3","0","false","2500","10","0.26"
"10","0","false","2500","9","0.25333333333333335"
"1","0","false","2500","10","0.30666666666666664"
"5","0","false","2500","9","0.22666666666666666"
"2","0","false","2500","9","0.25333333333333335"
"9","0","false","2500","9","0.26666666666666666"
"6","0","false","2500","10","0.32666666666666666"
"7","0","false","2500","10","0.2866666666666667"
"8","0","false","2500","10","0.26"
"1","0","false","2500","11","0.3466666666666667"
"4","0","false","2500","10","0.3333333333333333"
"3","0","false","2500","11","0.2733333333333333"
"10","0","false","2500","10","0.2733333333333333"
"5","0","false","2500","10","0.26"
"9","0","false","2500","10","0.2866666666666667"
"2","0","false","2500","10","0.26666666666666666"
"6","0","false","2500","11","0.3466666666666667"
"8","0","false","2500","11","0.28"
"7","0","false","2500","11","0.30666666666666664"
"1","0","false","2500","12","0.37333333333333335"
"4","0","false","2500","11","0.36"
"3","0","false","2500","12","0.32"
"10","0","false","2500","11","0.30666666666666664"
"5","0","false","2500","11","0.30666666666666664"
"9","0","false","2500","11","0.32666666666666666"
"2","0","false","2500","11","0.29333333333333333"
"6","0","false","2500","12","0.37333333333333335"
"7","0","false","2500","12","0.32666666666666666"
"8","0","false","2500","12","0.30666666666666664"
"1","0","false","2500","13","0.3933333333333333"
"4","0","false","2500","12","0.38666666666666666"
"3","0","false","2500","13","0.36666666666666664"
"5","0","false","2500","12","0.3333333333333333"
"9","0","false","2500","12","0.35333333333333333"
"10","0","false","2500","12","0.3333333333333333"
"2","0","false","2500","12","0.3"
"8","0","false","2500","13","0.34"
"7","0","false","2500","13","0.37333333333333335"
"6","0","false","2500","13","0.4"
"1","0","false","2500","14","0.42"
"4","0","false","2500","13","0.42"
"3","0","false","2500","14","0.37333333333333335"
"5","0","false","2500","13","0.35333333333333333"
"8","0","false","2500","14","0.35333333333333333"
"9","0","false","2500","13","0.36666666666666664"
"10","0","false","2500","13","0.38666666666666666"
"6","0","false","2500","14","0.46"
"2","0","false","2500","13","0.34"
"7","0","false","2500","14","0.42"
"1","0","false","2500","15","0.44666666666666666"
"4","0","false","2500","14","0.44"
"8","0","false","2500","15","0.42"
"3","0","false","2500","15","0.41333333333333333"
"5","0","false","2500","14","0.38"
"6","0","false","2500","15","0.5066666666666667"
"10","0","false","2500","14","0.42"
"9","0","false","2500","14","0.41333333333333333"
"2","0","false","2500","14","0.35333333333333333"
"1","0","false","2500","16","0.5"
"7","0","false","2500","15","0.44"
"4","0","false","2500","15","0.4533333333333333"
"8","0","false","2500","16","0.47333333333333333"
"3","0","false","2500","16","0.44"
"2","0","false","2500","15","0.36666666666666664"
"10","0","false","2500","15","0.48"
"5","0","false","2500","15","0.38"
"6","0","false","2500","16","0.5466666666666666"
"1","0","false","2500","17","0.5133333333333333"
"9","0","false","2500","15","0.44666666666666666"
"7","0","false","2500","16","0.48"
"4","0","false","2500","16","0.48"
"8","0","false","2500","17","0.54"
"3","0","false","2500","17","0.4866666666666667"
"5","0","false","2500","16","0.3933333333333333"
"10","0","false","2500","16","0.52"
"2","0","false","2500","16","0.3933333333333333"
"6","0","false","2500","17","0.5933333333333334"
"1","0","false","2500","18","0.5466666666666666"
"9","0","false","2500","16","0.47333333333333333"
"7","0","false","2500","17","0.52"
"3","0","false","2500","18","0.5"
"4","0","false","2500","17","0.5"
"8","0","false","2500","18","0.5733333333333334"
"5","0","false","2500","17","0.42"
"1","0","false","2500","19","0.5666666666666667"
"10","0","false","2500","17","0.5466666666666666"
"9","0","false","2500","17","0.5"
"6","0","false","2500","18","0.62"
"2","0","false","2500","17","0.4266666666666667"
"7","0","false","2500","18","0.56"
"4","0","false","2500","18","0.5266666666666666"
"8","0","false","2500","19","0.6266666666666667"
"3","0","false","2500","19","0.54"
"5","0","false","2500","18","0.44666666666666666"
"1","0","false","2500","20","0.5866666666666667"
"10","0","false","2500","18","0.6333333333333333"
"2","0","false","2500","18","0.4533333333333333"
"9","0","false","2500","18","0.5266666666666666"
"6","0","false","2500","19","0.64"
"7","0","false","2500","19","0.5866666666666667"
"4","0","false","2500","19","0.5533333333333333"
"8","0","false","2500","20","0.6866666666666666"
"5","0","false","2500","19","0.49333333333333335"
"1","0","false","2500","21","0.6333333333333333"
"3","0","false","2500","20","0.5733333333333334"
"10","0","false","2500","19","0.7"
"9","0","false","2500","19","0.5533333333333333"
"2","0","false","2500","19","0.49333333333333335"
"6","0","false","2500","20","0.6733333333333333"
"7","0","false","2500","20","0.6333333333333333"
"8","0","false","2500","21","0.7266666666666667"
"4","0","false","2500","20","0.5733333333333334"
"5","0","false","2500","20","0.54"
"9","0","false","2500","20","0.6066666666666667"
"1","0","false","2500","22","0.6866666666666666"
"10","0","false","2500","20","0.7266666666666667"
"3","0","false","2500","21","0.6133333333333333"
"6","0","false","2500","21","0.7133333333333334"
"2","0","false","2500","20","0.5266666666666666"
"7","0","false","2500","21","0.6733333333333333"
"4","0","false","2500","21","0.6466666666666666"
"8","0","false","2500","22","0.7666666666666667"
"5","0","false","2500","21","0.5533333333333333"
"3","0","false","2500","22","0.6533333333333333"
"9","0","false","2500","21","0.6333333333333333"
"1","0","false","2500","23","0.72"
"10","0","false","2500","21","0.7733333333333333"
"6","0","false","2500","22","0.7333333333333333"
"2","0","false","2500","21","0.5533333333333333"
"8","0","false","2500","23","0.84"
"7","0","false","2500","22","0.6933333333333334"
"4","0","false","2500","22","0.6933333333333334"
"1","0","false","2500","24","0.7666666666666667"
"5","0","false","2500","22","0.5933333333333334"
"3","0","false","2500","23","0.68"
"10","0","false","2500","22","0.8133333333333334"
"9","0","false","2500","22","0.68"
"6","0","false","2500","23","0.7733333333333333"
"2","0","false","2500","22","0.6066666666666667"
"7","0","false","2500","23","0.7133333333333334"
"4","0","false","2500","23","0.7133333333333334"
"8","0","false","2500","24","0.8933333333333333"
"1","0","false","2500","25","0.8266666666666667"
"5","0","false","2500","23","0.6266666666666667"
"3","0","false","2500","24","0.74"
"9","0","false","2500","23","0.7133333333333334"
"10","0","false","2500","23","0.86"
"2","0","false","2500","23","0.68"
"6","0","false","2500","24","0.8266666666666667"
"4","0","false","2500","24","0.7466666666666667"
"7","0","false","2500","24","0.7866666666666666"
"8","0","false","2500","25","0.94"
"1","0","false","2500","26","0.8666666666666667"
"5","0","false","2500","24","0.7066666666666667"
"3","0","false","2500","25","0.7866666666666666"
"9","0","false","2500","24","0.76"
"10","0","false","2500","24","0.9066666666666666"
"2","0","false","2500","24","0.7266666666666667"
"7","0","false","2500","25","0.8333333333333334"
"6","0","false","2500","25","0.8666666666666667"
"4","0","false","2500","25","0.78"
"1","0","false","2500","27","0.9133333333333333"
"8","0","false","2500","26","0.9866666666666667"
"5","0","false","2500","25","0.74"
"3","0","false","2500","26","0.8266666666666667"
"10","0","false","2500","25","0.96"
"9","0","false","2500","25","0.8066666666666666"
"1","0","false","2500","28","0.9933333333333333"
"7","0","false","2500","26","0.8933333333333333"
"8","0","false","2500","27","1.04"
"6","0","false","2500","26","0.92"
"5","0","false","2500","26","0.78"
"2","0","false","2500","25","0.76"
"4","0","false","2500","26","0.86"
"3","0","false","2500","27","0.86"
"9","0","false","2500","26","0.8666666666666667"
"10","0","false","2500","26","0.9933333333333333"
"1","0","false","2500","29","1.04"
"6","0","false","2500","27","0.96"
"4","0","false","2500","27","0.94"
"7","0","false","2500","27","0.9466666666666667"
"3","0","false","2500","28","0.9133333333333333"
"5","0","false","2500","27","0.8666666666666667"
"8","0","false","2500","28","1.0866666666666667"
"2","0","false","2500","26","0.8"
"1","0","false","2500","30","1.12"
"9","0","false","2500","27","0.9"
"10","0","false","2500","27","1.06"
"8","0","false","2500","29","1.1266666666666667"
"6","0","false","2500","28","0.9933333333333333"
"7","0","false","2500","28","0.9933333333333333"
"3","0","false","2500","29","0.98"
"4","0","false","2500","28","0.98"
"5","0","false","2500","28","0.94"
"2","0","false","2500","27","0.8266666666666667"
"9","0","false","2500","28","0.98"
"1","0","false","2500","31","1.2133333333333334"
"10","0","false","2500","28","1.0933333333333333"
"6","0","false","2500","29","1.0666666666666667"
"5","0","false","2500","29","0.9866666666666667"
"7","0","false","2500","29","1.08"
"8","0","false","2500","30","1.1533333333333333"
"3","0","false","2500","30","1.0333333333333334"
"4","0","false","2500","29","1.02"
"2","0","false","2500","28","0.88"
"1","0","false","2500","32","1.2533333333333334"
"9","0","false","2500","29","1.0533333333333332"
"10","0","false","2500","29","1.1533333333333333"
"6","0","false","2500","30","1.1266666666666667"
"5","0","false","2500","30","1.04"
"3","0","false","2500","31","1.0533333333333332"
"7","0","false","2500","30","1.1266666666666667"
"8","0","false","2500","31","1.2"
"4","0","false","2500","30","1.1"
"2","0","false","2500","29","0.96"
"1","0","false","2500","33","1.3"
"6","0","false","2500","31","1.16"
"9","0","false","2500","30","1.1333333333333333"
"3","0","false","2500","32","1.0866666666666667"
"5","0","false","2500","31","1.1333333333333333"
"10","0","false","2500","30","1.1866666666666668"
"8","0","false","2500","32","1.26"
"7","0","false","2500","31","1.18"
"4","0","false","2500","31","1.16"
"2","0","false","2500","30","1.0133333333333334"
"1","0","false","2500","34","1.38"
"6","0","false","2500","32","1.2"
"9","0","false","2500","31","1.1666666666666667"
"3","0","false","2500","33","1.14"
"5","0","false","2500","32","1.2133333333333334"
"10","0","false","2500","31","1.2266666666666666"
"8","0","false","2500","33","1.3133333333333332"
"7","0","false","2500","32","1.2466666666666666"
"4","0","false","2500","32","1.22"
"1","0","false","2500","35","1.4466666666666668"
"2","0","false","2500","31","1.0666666666666667"
"6","0","false","2500","33","1.2333333333333334"
"9","0","false","2500","32","1.22"
"5","0","false","2500","33","1.2666666666666666"
"8","0","false","2500","34","1.3266666666666667"
"3","0","false","2500","34","1.18"
"10","0","false","2500","32","1.3266666666666667"
"7","0","false","2500","33","1.28"
"4","0","false","2500","33","1.32"
"1","0","false","2500","36","1.52"
"9","0","false","2500","33","1.32"
"6","0","false","2500","34","1.2866666666666666"
