"BehaviorSpace results (NetLogo 6.2.2)"
"Model_final-version.nlogo"
"5000_people_100pct_vacinated"
"01/31/2022 21:09:57:517 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-135","135","-135","135"
"[run number]","percentage-vacinated","Show-place-of-infection","crowd-size","[step]","r-number"
"6","100","false","5000","0","0"
"2","100","false","5000","0","0"
"5","100","false","5000","0","0"
"3","100","false","5000","0","0"
"1","100","false","5000","0","0"
"7","100","false","5000","0","0"
"8","100","false","5000","0","0"
"10","100","false","5000","0","0"
"4","100","false","5000","0","0"
"9","100","false","5000","0","0"
"6","100","false","5000","1","0.0033333333333333335"
"1","100","false","5000","1","0.016666666666666666"
"5","100","false","5000","1","0.02"
"3","100","false","5000","1","0.006666666666666667"
"9","100","false","5000","1","0.006666666666666667"
"10","100","false","5000","1","0.006666666666666667"
"8","100","false","5000","1","0.016666666666666666"
"7","100","false","5000","1","0.02"
"4","100","false","5000","1","0.006666666666666667"
"2","100","false","5000","1","0.0033333333333333335"
"6","100","false","5000","2","0.013333333333333334"
"1","100","false","5000","2","0.03"
"5","100","false","5000","2","0.03666666666666667"
"9","100","false","5000","2","0.016666666666666666"
"3","100","false","5000","2","0.016666666666666666"
"10","100","false","5000","2","0.013333333333333334"
"7","100","false","5000","2","0.04"
"8","100","false","5000","2","0.023333333333333334"
"4","100","false","5000","2","0.01"
"2","100","false","5000","2","0.013333333333333334"
"6","100","false","5000","3","0.023333333333333334"
"1","100","false","5000","3","0.03666666666666667"
"5","100","false","5000","3","0.05"
"9","100","false","5000","3","0.02666666666666667"
"3","100","false","5000","3","0.03"
"10","100","false","5000","3","0.02666666666666667"
"8","100","false","5000","3","0.03"
"7","100","false","5000","3","0.05333333333333334"
"4","100","false","5000","3","0.023333333333333334"
"2","100","false","5000","3","0.03"
"6","100","false","5000","4","0.05"
"1","100","false","5000","4","0.04"
"9","100","false","5000","4","0.02666666666666667"
"5","100","false","5000","4","0.07"
"3","100","false","5000","4","0.03666666666666667"
"10","100","false","5000","4","0.043333333333333335"
"8","100","false","5000","4","0.04666666666666667"
"7","100","false","5000","4","0.06333333333333334"
"4","100","false","5000","4","0.03333333333333333"
"2","100","false","5000","4","0.043333333333333335"
"6","100","false","5000","5","0.06333333333333334"
"1","100","false","5000","5","0.043333333333333335"
